station_name,latitude,longitude,drybulb,wetbulb
"ALLEN COUNTY AP, OH, USA (WMO: 724298)",40.708,-84.027,"[('n5years', '35.8'), ('n10years', '37.1'), ('n20years', '38.3'), ('n50years', '39.9')]","[('n5years', '27.1'), ('n10years', '27.7'), ('n20years', '28.4'), ('n50years', '29.2')]"
"SCOTTSBORO 2 NE, AL, USA (WMO: 750070)",34.694,-86.000,"[('n5years', '36.9'), ('n10years', '38.0'), ('n20years', '39.0'), ('n50years', '40.4')]","[('n5years', 'N/A'), ('n10years', 'N/A'), ('n20years', 'N/A'), ('n50years', 'N/A')]"
"FAIRFIELD COUNTY AP, OH, USA (WMO: 724294)",39.756,-82.657,"[('n5years', '35.2'), ('n10years', '36.1'), ('n20years', '37.0'), ('n50years', '38.2')]","[('n5years', '26.9'), ('n10years', '27.4'), ('n20years', '27.9'), ('n50years', '28.5')]"
"FULTON COUNTY AP, GA, USA (WMO: 722195)",33.779,-84.521,"[('n5years', '37.0'), ('n10years', '38.1'), ('n20years', '39.2'), ('n50years', '40.6')]","[('n5years', '26.7'), ('n10years', '27.2'), ('n20years', '27.6'), ('n50years', '28.2')]"
"SALT LAKE CITY INTL, UT, USA (WMO: 725720)",40.778,-111.969,"[('n5years', '40.0'), ('n10years', '40.7'), ('n20years', '41.4'), ('n50years', '42.3')]","[('n5years', '20.9'), ('n10years', '21.4'), ('n20years', '21.9'), ('n50years', '22.5')]"
"MID-WAY, TX, USA (WMO: 720299)",32.456,-96.913,"[('n5years', '40.7'), ('n10years', '41.5'), ('n20years', '42.3'), ('n50years', '43.4')]","[('n5years', '26.7'), ('n10years', '27.3'), ('n20years', '27.9'), ('n50years', '28.6')]"
"MANASSAS, VA, USA (WMO: 724036)",38.721,-77.515,"[('n5years', '36.8'), ('n10years', '37.6'), ('n20years', '38.4'), ('n50years', '39.5')]","[('n5years', '27.3'), ('n10years', '27.9'), ('n20years', '28.4'), ('n50years', '29.1')]"
"FULTON COUNTY AP, GA, USA (WMO: 722195)",33.779,-84.521,"[('n5years', '37.0'), ('n10years', '38.1'), ('n20years', '39.2'), ('n50years', '40.6')]","[('n5years', '26.7'), ('n10years', '27.2'), ('n20years', '27.6'), ('n50years', '28.2')]"
"AUSTIN EXECUTIVE, TX, USA (WMO: 720648)",30.395,-97.567,"[('n5years', '43.1'), ('n10years', '45.1'), ('n20years', '47.1'), ('n50years', '49.6')]","[('n5years', '30.5'), ('n10years', '32.5'), ('n20years', '34.5'), ('n50years', '37.0')]"
"FOOTHILLS, NC, USA (WMO: 723148)",35.821,-81.611,"[('n5years', '36.3'), ('n10years', '37.0'), ('n20years', '37.6'), ('n50years', '38.4')]","[('n5years', '26.3'), ('n10years', '26.8'), ('n20years', '27.3'), ('n50years', '27.9')]"
